time,trade_price,amt,long_pos,short_pos,balance,margin,trade_type,long_val,short_val
1496102400000.0,1262.7,50,50,0,999950,50000,buy_open,6313500.0,0
1496102400000.0,1262.7,0,50,0,999950.0,50000,settle,6313500.0,-0.0
1496188800000.0,1266.2,50,100,0,999900.0,100000,buy_open,12644500.0,-0.0
1496188800000.0,1266.2,0,100,0,1017400.0,100000,settle,12662000.0,-0.0
1496275200000.0,1264.85,100,0,0,1017400.0,0,sell_close,13500.000000001863,-0.0
1496275200000.0,1264.85,50,0,50,1017350.0,50000,sell_open,13500.000000001863,-6324249.999999999
1496275200000.0,1264.85,0,0,50,1003849.9999999981,50000,settle,0.0,-6324249.999999999
1496361600000.0,1274.95,50,0,100,1003799.9999999981,100000,sell_open,0.0,-12699000.0
1496361600000.0,1274.95,0,0,100,1054299.9999999981,100000,settle,0.0,-12749500.0
1496620800000.0,1279.95,50,0,150,1054249.9999999981,150000,sell_open,0.0,-19149250.0
1496620800000.0,1279.95,0,0,150,1104249.9999999981,150000,settle,0.0,-19199250.0
1496707200000.0,1293.5,50,0,200,1104199.9999999981,200000,sell_open,0.0,-25666750.0
1496707200000.0,1293.5,0,0,200,1307449.9999999981,200000,settle,0.0,-25870000.0
1496793600000.0,1291.0,200,0,0,1307449.9999999981,0,buy_close,0.0,-50000.0
1496793600000.0,1291.0,50,50,0,1307399.9999999981,50000,buy_open,6455000.0,-50000.0
1496793600000.0,1291.0,0,50,0,1257399.9999999981,50000,settle,6455000.0,-0.0
1496880000000.0,1273.1,50,100,0,1257349.9999999981,100000,buy_open,12820500.0,-0.0
1496880000000.0,1273.1,0,100,0,1167849.9999999963,100000,settle,12730999.999999998,-0.0
1496966400000.0,1266.55,100,0,0,1167849.9999999963,0,sell_close,65499.99999999814,-0.0
1496966400000.0,1266.55,50,0,50,1167799.9999999963,50000,sell_open,65499.99999999814,-6332750.0
1496966400000.0,1266.55,0,0,50,1102299.9999999981,50000,settle,0.0,-6332750.0
1497225600000.0,1266.4,50,0,0,1102299.9999999981,0,buy_close,0.0,-749.9999999990687
1497225600000.0,1266.4,50,50,0,1102249.9999999981,50000,buy_open,6332000.000000001,-749.9999999990687
1497225600000.0,1266.4,0,50,0,1101499.999999999,50000,settle,6332000.000000001,-0.0
1497312000000.0,1262.0,50,100,0,1101449.999999999,100000,buy_open,12642000.0,-0.0
1497312000000.0,1262.0,0,100,0,1079449.999999999,100000,settle,12620000.0,-0.0
1497398400000.0,1275.5,50,150,0,1079399.999999999,150000,buy_open,18997500.0,-0.0
1497398400000.0,1275.5,0,150,0,1214399.999999999,150000,settle,19132500.0,-0.0
1497484800000.0,1254.55,50,200,0,1214349.999999999,200000,buy_open,25405250.0,-0.0
1497484800000.0,1254.55,0,200,0,900099.9999999991,200000,settle,25091000.0,-0.0
1497571200000.0,1255.4,200,0,0,900099.9999999991,0,sell_close,-17000.000000003725,-0.0
1497571200000.0,1255.4,50,0,50,900049.9999999991,50000,sell_open,-17000.000000003725,-6277000.000000001
1497571200000.0,1255.4,0,0,50,917050.0000000028,50000,settle,0.0,-6277000.000000001
1497830400000.0,1248.15,50,0,0,917050.0000000028,0,buy_close,0.0,-36250.0
1497830400000.0,1248.15,50,50,0,917000.0000000028,50000,buy_open,6240750.000000001,-36250.0
1497830400000.0,1248.15,0,50,0,880750.0000000028,50000,settle,6240750.000000001,-0.0
1497916800000.0,1242.2,50,0,0,880750.0000000028,0,sell_close,29750.00000000093,-0.0
1497916800000.0,1242.2,50,0,50,880700.0000000028,50000,sell_open,29750.00000000093,-6211000.0
1497916800000.0,1242.2,0,0,50,850950.0000000019,50000,settle,0.0,-6211000.0
1498003200000.0,1242.5,50,0,100,850900.0000000019,100000,sell_open,0.0,-12423500.0
1498003200000.0,1242.5,0,0,100,852400.0000000019,100000,settle,0.0,-12425000.0
1498089600000.0,1250.8,50,0,150,852350.0000000019,150000,sell_open,0.0,-18679000.0
1498089600000.0,1250.8,0,0,150,935350.0000000019,150000,settle,0.0,-18762000.0
1498176000000.0,1255.7,150,0,0,935350.0000000019,0,buy_close,0.0,73500.0
1498176000000.0,1255.7,50,50,0,935300.0000000019,50000,buy_open,6278500.0,73500.0
1498176000000.0,1255.7,0,50,0,1008800.0000000019,50000,settle,6278500.0,-0.0
1498435200000.0,1245.25,50,100,0,1008750.0000000019,100000,buy_open,12504750.0,-0.0
1498435200000.0,1245.25,0,100,0,956500.0000000019,100000,settle,12452500.0,-0.0
1498521600000.0,1249.55,100,0,0,956500.0000000019,0,sell_close,-43000.0,-0.0
1498521600000.0,1249.55,50,0,50,956450.0000000019,50000,sell_open,-43000.0,-6247750.0
1498521600000.0,1249.55,0,0,50,999450.0000000019,50000,settle,0.0,-6247750.0
1498608000000.0,1248.0,50,0,0,999450.0000000019,0,buy_close,0.0,-7750.0
1498608000000.0,1248.0,50,50,0,999400.0000000019,50000,buy_open,6240000.0,-7750.0
1498608000000.0,1248.0,0,50,0,991650.0000000019,50000,settle,6240000.0,-0.0
1498694400000.0,1243.5,50,0,0,991650.0000000019,0,sell_close,22500.0,-0.0
1498694400000.0,1243.5,50,0,50,991600.0000000019,50000,sell_open,22500.0,-6217500.0
1498694400000.0,1243.5,0,0,50,969100.0000000019,50000,settle,0.0,-6217500.0
1498780800000.0,1242.25,50,0,0,969100.0000000019,0,buy_close,0.0,-6250.0
1498780800000.0,1242.25,50,50,0,969050.0000000019,50000,buy_open,6211250.0,-6250.0
1498780800000.0,1242.25,0,50,0,962800.0000000019,50000,settle,6211250.0,-0.0
1499040000000.0,1229.25,50,100,0,962750.0000000019,100000,buy_open,12357500.0,-0.0
1499040000000.0,1229.25,0,100,0,897750.0000000019,100000,settle,12292500.0,-0.0
1499126400000.0,1223.75,50,150,0,897700.0000000019,150000,buy_open,18411250.0,-0.0
1499126400000.0,1223.75,0,150,0,842700.0000000019,150000,settle,18356250.0,-0.0
1499212800000.0,1220.3,150,0,0,842700.0000000019,0,sell_close,51750.0,-0.0
1499212800000.0,1220.3,50,0,50,842650.0000000019,50000,sell_open,51750.0,-6101500.0
1499212800000.0,1220.3,0,0,50,790900.0000000019,50000,settle,0.0,-6101500.0
1499299200000.0,1224.9,50,0,100,790850.0000000019,100000,sell_open,0.0,-12226000.0
1499299200000.0,1224.9,0,0,100,813850.0000000037,100000,settle,0.0,-12249000.000000002
1499385600000.0,1215.65,100,0,0,813850.0000000037,0,buy_close,0.0,-92500.0
1499385600000.0,1215.65,50,50,0,813800.0000000037,50000,buy_open,6078250.000000001,-92500.0
1499385600000.0,1215.65,0,50,0,721300.0000000037,50000,settle,6078250.000000001,-0.0
1499644800000.0,1211.9,50,0,0,721300.0000000037,0,sell_close,18750.0,-0.0
1499644800000.0,1211.9,50,0,50,721250.0000000037,50000,sell_open,18750.0,-6059500.000000001
1499644800000.0,1211.9,0,0,50,702500.0000000037,50000,settle,0.0,-6059500.000000001
1499731200000.0,1211.05,50,0,100,702450.0000000037,100000,sell_open,0.0,-12114750.0
1499731200000.0,1211.05,0,0,100,698200.0000000037,100000,settle,0.0,-12110500.0
1499817600000.0,1218.8,50,0,150,698150.0000000037,150000,sell_open,0.0,-18204500.0
1499817600000.0,1218.8,0,0,150,775650.0000000037,150000,settle,0.0,-18282000.0
1499904000000.0,1218.9,50,0,200,775600.0000000037,200000,sell_open,0.0,-24376500.0
1499904000000.0,1218.9,0,0,200,777100.0000000075,200000,settle,0.0,-24378000.000000004
1499990400000.0,1230.3,50,0,250,777050.0000000075,250000,sell_open,0.0,-30529500.000000004
1499990400000.0,1230.3,0,0,250,1005050.0000000037,250000,settle,0.0,-30757500.0
1500249600000.0,1234.1,50,0,300,1005000.0000000037,300000,sell_open,0.0,-36928000.0
1500249600000.0,1234.1,0,0,300,1100000.0000000037,300000,settle,0.0,-37023000.0
1500336000000.0,1240.75,50,0,350,1099950.0000000037,350000,sell_open,0.0,-43226750.0
1500336000000.0,1240.75,0,0,350,1299450.0000000037,350000,settle,0.0,-43426250.0
1500422400000.0,1242.15,50,0,400,1299400.0000000037,400000,sell_open,0.0,-49637000.0
1500422400000.0,1242.15,0,0,400,1348400.0000000112,400000,settle,0.0,-49686000.00000001
1500508800000.0,1238.7,50,0,450,1348350.0000000112,450000,sell_open,0.0,-55879500.00000001
1500508800000.0,1238.7,0,0,450,1210350.0000000037,450000,settle,0.0,-55741500.0
1500595200000.0,1248.55,50,0,500,1210300.0000000037,500000,sell_open,0.0,-61984250.0
1500595200000.0,1248.55,0,0,500,1653550.0000000037,500000,settle,0.0,-62427500.0
1500854400000.0,1255.55,50,0,550,1653500.0000000037,550000,sell_open,0.0,-68705250.0
1500854400000.0,1255.55,0,0,550,2003500.0000000037,550000,settle,0.0,-69055250.0
1500940800000.0,1254.4,50,0,600,2003450.0000000037,600000,sell_open,0.0,-75327250.0
1500940800000.0,1254.4,0,0,600,1940200.0000000037,600000,settle,0.0,-75264000.0
1501027200000.0,1248.1,600,0,0,1940200.0000000037,0,buy_close,0.0,-378000.0
1501027200000.0,1248.1,50,50,0,1940150.0000000037,50000,buy_open,6240499.999999999,-378000.0
1501027200000.0,1248.1,0,50,0,1562150.0000000037,50000,settle,6240499.999999999,-0.0
1501113600000.0,1261.1,50,0,0,1562150.0000000037,0,sell_close,-65000.0,-0.0
1501113600000.0,1261.1,50,0,50,1562100.0000000037,50000,sell_open,-65000.0,-6305499.999999999
1501113600000.0,1261.1,0,0,50,1627100.0000000037,50000,settle,0.0,-6305499.999999999
1501200000000.0,1264.9,50,0,100,1627050.0000000037,100000,sell_open,0.0,-12630000.0
1501200000000.0,1264.9,0,0,100,1646050.0000000056,100000,settle,0.0,-12649000.000000002
1501459200000.0,1267.55,50,0,150,1646000.0000000056,150000,sell_open,0.0,-18986750.0
1501459200000.0,1267.55,0,0,150,1672500.0000000056,150000,settle,0.0,-19013250.0
1501545600000.0,1270.95,50,0,200,1672450.0000000056,200000,sell_open,0.0,-25368000.0
1501545600000.0,1270.95,0,0,200,1723450.0000000056,200000,settle,0.0,-25419000.0
1501632000000.0,1269.6,200,0,0,1723450.0000000056,0,buy_close,0.0,-27000.000000003725
1501632000000.0,1269.6,50,50,0,1723400.0000000056,50000,buy_open,6347999.999999999,-27000.000000003725
1501632000000.0,1269.6,0,50,0,1696400.0000000019,50000,settle,6347999.999999999,-0.0
1501718400000.0,1268.1,50,0,0,1696400.0000000019,0,sell_close,7500.0,-0.0
1501718400000.0,1268.1,50,0,50,1696350.0000000019,50000,sell_open,7500.0,-6340499.999999999
1501718400000.0,1268.1,0,0,50,1688850.0000000019,50000,settle,0.0,-6340499.999999999
1501804800000.0,1257.7,50,0,100,1688800.0000000019,100000,sell_open,0.0,-12629000.0
1501804800000.0,1257.7,0,0,100,1636800.0000000019,100000,settle,0.0,-12577000.0
1502064000000.0,1258.0,50,0,150,1636750.0000000019,150000,sell_open,0.0,-18867000.0
1502064000000.0,1258.0,0,0,150,1639750.0000000019,150000,settle,0.0,-18870000.0
1502150400000.0,1261.8,50,0,200,1639700.0000000019,200000,sell_open,0.0,-25179000.0
1502150400000.0,1261.8,0,0,200,1696700.0000000019,200000,settle,0.0,-25236000.0
1502236800000.0,1271.05,50,0,250,1696650.0000000019,250000,sell_open,0.0,-31591250.0
1502236800000.0,1271.05,0,0,250,1881650.0000000019,250000,settle,0.0,-31776250.0
1502323200000.0,1284.4,50,0,300,1881600.0000000019,300000,sell_open,0.0,-38198250.0
1502323200000.0,1284.4,0,0,300,2215350.000000002,300000,settle,0.0,-38532000.0
1502409600000.0,1286.1,50,0,350,2215300.000000002,350000,sell_open,0.0,-44962500.0
1502409600000.0,1286.1,0,0,350,2266299.9999999944,350000,settle,0.0,-45013499.99999999
1502668800000.0,1282.3,350,0,0,2266299.9999999944,0,buy_close,0.0,-132999.99999999255
1502668800000.0,1282.3,50,50,0,2266249.9999999944,50000,buy_open,6411500.0,-132999.99999999255
1502668800000.0,1282.3,0,50,0,2133250.000000002,50000,settle,6411500.0,-0.0
1502755200000.0,1270.3,50,100,0,2133200.000000002,100000,buy_open,12763000.0,-0.0
1502755200000.0,1270.3,0,100,0,2073200.0000000019,100000,settle,12703000.0,-0.0
1502841600000.0,1272.75,100,0,0,2073200.0000000019,0,sell_close,-24500.0,-0.0
1502841600000.0,1272.75,50,0,50,2073150.0000000019,50000,sell_open,-24500.0,-6363750.0
1502841600000.0,1272.75,0,0,50,2097650.000000002,50000,settle,0.0,-6363750.0
1502928000000.0,1285.15,50,0,100,2097600.000000002,100000,sell_open,0.0,-12789500.0
1502928000000.0,1285.15,0,0,100,2159600.0000000037,100000,settle,0.0,-12851500.000000002
1503014400000.0,1295.8,50,0,150,2159550.0000000037,150000,sell_open,0.0,-19330500.0
1503014400000.0,1295.8,0,0,150,2266050.0000000037,150000,settle,0.0,-19437000.0
1503273600000.0,1292.9,150,0,0,2266050.0000000037,0,buy_close,0.0,-43500.0
1503273600000.0,1292.9,50,50,0,2266000.0000000037,50000,buy_open,6464500.000000001,-43500.0
1503273600000.0,1292.9,0,50,0,2222500.0000000037,50000,settle,6464500.000000001,-0.0
1503360000000.0,1284.2,50,100,0,2222450.0000000037,100000,buy_open,12885500.0,-0.0
1503360000000.0,1284.2,0,100,0,2178950.0000000037,100000,settle,12842000.0,-0.0
1503446400000.0,1286.65,100,0,0,2178950.0000000037,0,sell_close,-24500.000000001863,-0.0
1503446400000.0,1286.65,50,0,50,2178900.0000000037,50000,sell_open,-24500.000000001863,-6433250.000000001
1503446400000.0,1286.65,0,0,50,2203400.0000000056,50000,settle,0.0,-6433250.000000001
1503532800000.0,1289.0,50,0,100,2203350.0000000056,100000,sell_open,0.0,-12878250.0
1503532800000.0,1289.0,0,0,100,2215100.0000000056,100000,settle,0.0,-12890000.0
1503619200000.0,1285.3,50,0,150,2215050.0000000056,150000,sell_open,0.0,-19316500.0
1503619200000.0,1285.3,0,0,150,2178050.0000000056,150000,settle,0.0,-19279500.0
1503878400000.0,1285.3,150,0,0,2178050.0000000056,0,buy_close,0.0,0.0
1503878400000.0,1285.3,50,50,0,2178000.0000000056,50000,buy_open,6426500.0,0.0
1503878400000.0,1285.3,0,50,0,2178000.0000000056,50000,settle,6426500.0,-0.0
1503964800000.0,1318.65,50,0,0,2178000.0000000056,0,sell_close,-166750.0,-0.0
1503964800000.0,1318.65,50,0,50,2177950.0000000056,50000,sell_open,-166750.0,-6593250.0
1503964800000.0,1318.65,0,0,50,2344700.0000000056,50000,settle,0.0,-6593250.0
1504051200000.0,1308.5,50,0,0,2344700.0000000056,0,buy_close,0.0,-50750.0
1504051200000.0,1308.5,50,50,0,2344650.0000000056,50000,buy_open,6542500.0,-50750.0
1504051200000.0,1308.5,0,50,0,2293900.0000000056,50000,settle,6542500.0,-0.0
1504137600000.0,1311.75,50,0,0,2293900.0000000056,0,sell_close,-16250.0,-0.0
1504137600000.0,1311.75,50,0,50,2293850.0000000056,50000,sell_open,-16250.0,-6558750.0
1504137600000.0,1311.75,0,0,50,2310100.0000000056,50000,settle,0.0,-6558750.0
1504224000000.0,1320.4,50,0,100,2310050.0000000056,100000,sell_open,0.0,-13160750.0
1504224000000.0,1320.4,0,0,100,2353300.0000000056,100000,settle,0.0,-13204000.0
1504483200000.0,1333.1,50,0,150,2353250.0000000056,150000,sell_open,0.0,-19869500.0
1504483200000.0,1333.1,0,0,150,2480250.0000000056,150000,settle,0.0,-19996500.0
1504569600000.0,1335.55,50,0,200,2480200.0000000056,200000,sell_open,0.0,-26674250.0
1504569600000.0,1335.55,0,0,200,2516950.0000000056,200000,settle,0.0,-26711000.0
1504656000000.0,1337.85,50,0,250,2516900.0000000056,250000,sell_open,0.0,-33400250.0
1504656000000.0,1337.85,0,0,250,2562900.0000000056,250000,settle,0.0,-33446250.0
1504742400000.0,1343.5,50,0,300,2562850.0000000056,300000,sell_open,0.0,-40163750.0
1504742400000.0,1343.5,0,0,300,2704100.0000000056,300000,settle,0.0,-40305000.0
1504828800000.0,1346.25,50,0,350,2704050.0000000056,350000,sell_open,0.0,-47036250.0
1504828800000.0,1346.25,0,0,350,2786550.0000000056,350000,settle,0.0,-47118750.0
1505088000000.0,1334.2,50,0,400,2786500.0000000056,400000,sell_open,0.0,-53789750.0
1505088000000.0,1334.2,0,0,400,2364750.0000000056,400000,settle,0.0,-53368000.0
1505174400000.0,1326.5,400,0,0,2364750.0000000056,0,buy_close,0.0,-308000.0
1505174400000.0,1326.5,50,50,0,2364700.0000000056,50000,buy_open,6632500.0,-308000.0
1505174400000.0,1326.5,0,50,0,2056700.0000000056,50000,settle,6632500.0,-0.0
1505260800000.0,1327.55,50,0,0,2056700.0000000056,0,sell_close,-5250.0,-0.0
1505260800000.0,1327.55,50,0,50,2056650.0000000056,50000,sell_open,-5250.0,-6637750.0
1505260800000.0,1327.55,0,0,50,2061900.0000000056,50000,settle,0.0,-6637750.0
1505347200000.0,1324.55,50,0,0,2061900.0000000056,0,buy_close,0.0,-15000.0
1505347200000.0,1324.55,50,50,0,2061850.0000000056,50000,buy_open,6622750.0,-15000.0
1505347200000.0,1324.55,0,50,0,2046850.0000000056,50000,settle,6622750.0,-0.0
1505433600000.0,1322.85,50,0,0,2046850.0000000056,0,sell_close,8500.0,-0.0
1505433600000.0,1322.85,50,0,50,2046800.0000000056,50000,sell_open,8500.0,-6614250.0
1505433600000.0,1322.85,0,0,50,2038300.0000000056,50000,settle,0.0,-6614250.0
1505692800000.0,1312.1,50,0,0,2038300.0000000056,0,buy_close,0.0,-53750.0
1505692800000.0,1312.1,50,50,0,2038250.0000000056,50000,buy_open,6560500.0,-53750.0
1505692800000.0,1312.1,0,50,0,1984500.0000000056,50000,settle,6560500.0,-0.0
1505779200000.0,1309.6,50,0,0,1984500.0000000056,0,sell_close,12500.000000000931,-0.0
1505779200000.0,1309.6,50,0,50,1984450.0000000056,50000,sell_open,12500.000000000931,-6547999.999999999
1505779200000.0,1309.6,0,0,50,1971950.0000000047,50000,settle,0.0,-6547999.999999999
1505865600000.0,1311.3,50,0,100,1971900.0000000047,100000,sell_open,0.0,-13104500.0
1505865600000.0,1311.3,0,0,100,1980400.0000000047,100000,settle,0.0,-13113000.0
1505952000000.0,1292.1,100,0,0,1980400.0000000047,0,buy_close,0.0,-192000.00000000186
1505952000000.0,1292.1,50,50,0,1980350.0000000047,50000,buy_open,6460499.999999999,-192000.00000000186
1505952000000.0,1292.1,0,50,0,1788350.0000000028,50000,settle,6460499.999999999,-0.0
1506038400000.0,1294.8,50,0,0,1788350.0000000028,0,sell_close,-13500.000000000931,-0.0
1506038400000.0,1294.8,50,0,50,1788300.0000000028,50000,sell_open,-13500.000000000931,-6474000.0
1506038400000.0,1294.8,0,0,50,1801800.0000000037,50000,settle,0.0,-6474000.0
1506297600000.0,1293.3,50,0,100,1801750.0000000037,100000,sell_open,0.0,-12940500.0
1506297600000.0,1293.3,0,0,100,1794250.0000000037,100000,settle,0.0,-12933000.0
1506384000000.0,1300.05,50,0,150,1794200.0000000037,150000,sell_open,0.0,-19433250.0
1506384000000.0,1300.05,0,0,150,1861700.0000000037,150000,settle,0.0,-19500750.0
1506470400000.0,1282.55,150,0,0,1861700.0000000037,0,buy_close,0.0,-262500.0
1506470400000.0,1282.55,50,50,0,1861650.0000000037,50000,buy_open,6412750.0,-262500.0
1506470400000.0,1282.55,0,50,0,1599150.0000000037,50000,settle,6412750.0,-0.0
1506556800000.0,1283.35,50,0,0,1599150.0000000037,0,sell_close,-3999.9999999990687,-0.0
1506556800000.0,1283.35,50,0,50,1599100.0000000037,50000,sell_open,-3999.9999999990687,-6416749.999999999
1506556800000.0,1283.35,0,0,50,1603100.0000000028,50000,settle,0.0,-6416749.999999999
1506643200000.0,1283.1,50,0,100,1603050.0000000028,100000,sell_open,0.0,-12832249.999999998
1506643200000.0,1283.1,0,0,100,1601800.0000000028,100000,settle,0.0,-12830999.999999998
1506902400000.0,1273.7,50,0,150,1601750.0000000028,150000,sell_open,0.0,-19199500.0
1506902400000.0,1273.7,0,0,150,1507750.0000000028,150000,settle,0.0,-19105500.0
1506988800000.0,1271.25,150,0,0,1507750.0000000028,0,buy_close,0.0,-36750.0
1506988800000.0,1271.25,50,50,0,1507700.0000000028,50000,buy_open,6356250.0,-36750.0
1506988800000.0,1271.25,0,50,0,1470950.0000000028,50000,settle,6356250.0,-0.0
1507075200000.0,1274.25,50,0,0,1470950.0000000028,0,sell_close,-15000.0,-0.0
1507075200000.0,1274.25,50,0,50,1470900.0000000028,50000,sell_open,-15000.0,-6371250.0
1507075200000.0,1274.25,0,0,50,1485900.0000000028,50000,settle,0.0,-6371250.0
1507161600000.0,1274.5,50,0,100,1485850.0000000028,100000,sell_open,0.0,-12743750.0
1507161600000.0,1274.5,0,0,100,1487100.0000000028,100000,settle,0.0,-12745000.0
1507248000000.0,1261.8,50,0,150,1487050.0000000028,150000,sell_open,0.0,-19054000.0
1507248000000.0,1261.8,0,0,150,1360050.0000000028,150000,settle,0.0,-18927000.0
1507507200000.0,1278.75,50,0,200,1360000.0000000028,200000,sell_open,0.0,-25320750.0
1507507200000.0,1278.75,0,0,200,1614250.0000000028,200000,settle,0.0,-25575000.0
1507593600000.0,1291.4,50,0,250,1614200.0000000028,250000,sell_open,0.0,-32032000.0
1507593600000.0,1291.4,0,0,250,1867200.0000000028,250000,settle,0.0,-32285000.0
1507680000000.0,1289.25,250,0,0,1867200.0000000028,0,buy_close,0.0,-53750.0
1507680000000.0,1289.25,50,50,0,1867150.0000000028,50000,buy_open,6446250.0,-53750.0
1507680000000.0,1289.25,0,50,0,1813400.0000000028,50000,settle,6446250.0,-0.0
1507766400000.0,1290.25,50,0,0,1813400.0000000028,0,sell_close,-5000.0,-0.0
1507766400000.0,1290.25,50,0,50,1813350.0000000028,50000,sell_open,-5000.0,-6451250.0
1507766400000.0,1290.25,0,0,50,1818350.0000000028,50000,settle,0.0,-6451250.0
1507852800000.0,1299.6,50,0,100,1818300.0000000028,100000,sell_open,0.0,-12949250.0
1507852800000.0,1299.6,0,0,100,1865050.000000001,100000,settle,0.0,-12995999.999999998
1508112000000.0,1303.3,50,0,150,1865000.000000001,150000,sell_open,0.0,-19512500.0
1508112000000.0,1303.3,0,0,150,1902000.000000001,150000,settle,0.0,-19549500.0
1508198400000.0,1284.75,50,0,200,1901950.000000001,200000,sell_open,0.0,-25973250.0
1508198400000.0,1284.75,0,0,200,1623700.000000001,200000,settle,0.0,-25695000.0
1508284800000.0,1280.2,50,0,250,1623650.000000001,250000,sell_open,0.0,-32096000.0
1508284800000.0,1280.2,0,0,250,1532650.000000001,250000,settle,0.0,-32005000.0
1508371200000.0,1286.4,50,0,300,1532600.000000001,300000,sell_open,0.0,-38437000.0
1508371200000.0,1286.4,0,0,300,1687600.000000001,300000,settle,0.0,-38592000.0
1508457600000.0,1281.2,50,0,350,1687550.000000001,350000,sell_open,0.0,-44998000.0
1508457600000.0,1281.2,0,0,350,1531550.000000001,350000,settle,0.0,-44842000.0
1508716800000.0,1274.9,350,0,0,1531550.000000001,0,buy_close,0.0,-220499.99999999255
1508716800000.0,1274.9,50,50,0,1531500.000000001,50000,buy_open,6374500.000000001,-220499.99999999255
1508716800000.0,1274.9,0,50,0,1311000.0000000084,50000,settle,6374500.000000001,-0.0
1508803200000.0,1276.45,50,0,0,1311000.0000000084,0,sell_close,-7749.999999999069,-0.0
1508803200000.0,1276.45,50,0,50,1310950.0000000084,50000,sell_open,-7749.999999999069,-6382250.0
1508803200000.0,1276.45,0,0,50,1318700.0000000075,50000,settle,0.0,-6382250.0
1508889600000.0,1275.0,50,0,100,1318650.0000000075,100000,sell_open,0.0,-12757250.0
1508889600000.0,1275.0,0,0,100,1311400.0000000075,100000,settle,0.0,-12750000.0
1508976000000.0,1273.75,100,0,0,1311400.0000000075,0,buy_close,0.0,-12500.0
1508976000000.0,1273.75,50,50,0,1311350.0000000075,50000,buy_open,6368750.0,-12500.0
1508976000000.0,1273.75,0,50,0,1298850.0000000075,50000,settle,6368750.0,-0.0
1509062400000.0,1266.45,50,0,0,1298850.0000000075,0,sell_close,36500.0,-0.0
1509062400000.0,1266.45,50,0,50,1298800.0000000075,50000,sell_open,36500.0,-6332250.0
1509062400000.0,1266.45,0,0,50,1262300.0000000075,50000,settle,0.0,-6332250.0
1509321600000.0,1272.0,50,0,100,1262250.0000000075,100000,sell_open,0.0,-12692250.0
1509321600000.0,1272.0,0,0,100,1290000.0000000075,100000,settle,0.0,-12720000.0
1509408000000.0,1270.15,50,0,150,1289950.0000000075,150000,sell_open,0.0,-19070750.0
1509408000000.0,1270.15,0,0,150,1271450.0000000075,150000,settle,0.0,-19052250.0
1509494400000.0,1277.05,50,0,200,1271400.0000000075,200000,sell_open,0.0,-25437500.0
1509494400000.0,1277.05,0,0,200,1374900.0000000075,200000,settle,0.0,-25541000.0
1509580800000.0,1279.2,50,0,250,1374850.0000000075,250000,sell_open,0.0,-31937000.0
1509580800000.0,1279.2,0,0,250,1417850.0000000075,250000,settle,0.0,-31980000.0
1509667200000.0,1267.2,250,0,0,1417850.0000000075,0,buy_close,0.0,-300000.0
1509667200000.0,1267.2,50,50,0,1417800.0000000075,50000,buy_open,6336000.0,-300000.0
1509667200000.0,1267.2,0,50,0,1117800.0000000075,50000,settle,6336000.0,-0.0
1509926400000.0,1270.9,50,0,0,1117800.0000000075,0,sell_close,-18500.00000000093,-0.0
1509926400000.0,1270.9,50,0,50,1117750.0000000075,50000,sell_open,-18500.00000000093,-6354500.000000001
1509926400000.0,1270.9,0,0,50,1136250.0000000084,50000,settle,0.0,-6354500.000000001
1510012800000.0,1275.6,50,0,100,1136200.0000000084,100000,sell_open,0.0,-12732500.0
1510012800000.0,1275.6,0,0,100,1159700.0000000065,100000,settle,0.0,-12755999.999999998
1510099200000.0,1284.0,50,0,150,1159650.0000000065,150000,sell_open,0.0,-19176000.0
1510099200000.0,1284.0,0,0,150,1243650.0000000065,150000,settle,0.0,-19260000.0
1510185600000.0,1284.8,50,0,200,1243600.0000000065,200000,sell_open,0.0,-25684000.0
1510185600000.0,1284.8,0,0,200,1255600.0000000065,200000,settle,0.0,-25696000.0
1510272000000.0,1284.3,200,0,0,1255600.0000000065,0,buy_close,0.0,-10000.0
1510272000000.0,1284.3,50,50,0,1255550.0000000065,50000,buy_open,6421500.0,-10000.0
1510272000000.0,1284.3,0,50,0,1245550.0000000065,50000,settle,6421500.0,-0.0
1510531200000.0,1277.95,50,100,0,1245500.0000000065,100000,buy_open,12811250.0,-0.0
1510531200000.0,1277.95,0,100,0,1213750.0000000065,100000,settle,12779500.0,-0.0
1510617600000.0,1274.6,100,0,0,1213750.0000000065,0,sell_close,33500.00000000186,-0.0
1510617600000.0,1274.6,50,0,50,1213700.0000000065,50000,sell_open,33500.00000000186,-6372999.999999999
1510617600000.0,1274.6,0,0,50,1180200.0000000047,50000,settle,0.0,-6372999.999999999
1510704000000.0,1282.2,50,0,100,1180150.0000000047,100000,sell_open,0.0,-12784000.0
1510704000000.0,1282.2,0,0,100,1218150.0000000047,100000,settle,0.0,-12822000.0
1510790400000.0,1280.0,50,0,150,1218100.0000000047,150000,sell_open,0.0,-19222000.0
1510790400000.0,1280.0,0,0,150,1196100.0000000047,150000,settle,0.0,-19200000.0
1510876800000.0,1284.35,50,0,200,1196050.0000000047,200000,sell_open,0.0,-25621750.0
1510876800000.0,1284.35,0,0,200,1261300.000000001,200000,settle,0.0,-25686999.999999996
1511136000000.0,1286.2,200,0,0,1261300.000000001,0,buy_close,0.0,37000.000000003725
1511136000000.0,1286.2,50,50,0,1261250.000000001,50000,buy_open,6431000.0,37000.000000003725
1511136000000.0,1286.2,0,50,0,1298250.0000000047,50000,settle,6431000.0,-0.0
